IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 12:09:30 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: move 	 Data e Hora: 23 10 2014 12:09:33 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 12:10:01 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 12:10:01 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 12:10:06 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 12:10:06 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 12:10:11 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 12:10:16 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: move 	 Data e Hora: 23 10 2014 12:10:19 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 12:10:23 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 12:10:33 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 12:10:38 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 12:10:43 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 12:10:47 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 12:10:51 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 12:10:56 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 12:11:01 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: curriculo.html 	 Data e Hora: 23 10 2014 13:24:07 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 13:24:07 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 13:24:08 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 13:24:16 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 13:24:16 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 13:24:20 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 13:24:20 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 13:24:26 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 13:24:30 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 13:24:40 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 13:24:40 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 13:24:43 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 13:24:47 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 13:25:45 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 13:25:48 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 13:25:54 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 13:25:54 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 13:26:04 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 13:26:04 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 13:26:12 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 13:26:29 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 13:26:29 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: mved.html 	 Data e Hora: 23 10 2014 13:26:34 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 13:26:50 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 13:26:50 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 13:27:12 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 13:27:12 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 13:27:12 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 13:27:12 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 13:27:19 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 13:27:27 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:02:29 GMT 
IP do cliente solicitante: 192.168.1.2 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 15:02:29 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 15:02:32 GMT 
